ticker,company,program,indication,pdufa_date,status,notes
CAPR,Capricor Therapeutics,Deramiocel,DMD Cardiomyopathy,2026-11-22,ACTIVE,"Phase 3 HOPE-3 met primary; T-60 trigger 2026-09-23"
NTLA,Intellia Therapeutics,Lonvo-z,HAE (CRISPR),2027-03-10,ACTIVE,"BLA accepted Sept 8 2026 with Priority Review; T-60 trigger 2027-01-10"
AMLX,Amylyx Pharmaceuticals,Avexitide,Primary Biliary Hepatitis,2027-06-30,ACTIVE,"Phase 3 pending final data; T-60 trigger 2027-05-01"
