ticker,date,price,price_change_pct,market_cap,avg_volume_3m,ma20,ma60,vol20_avg,vol60_avg,ma20_slope,up_volume_pct,return_60d_pct,early_run_warning,momentum_confirmations,eligible_3of4,momentum_details,pdufa_date,days_to_pdufa,pdufa_status,t60_date,t14_date,t60_active
CAPR,2026-09-14,8.37,0.8433698,486623328,6393727,8.46,13.98,10960620.0,6579508.0,1.72,17.3,-70.05,False,2,False,✗ Price 8.37 <= MA20 8.46 | ✓ MA20 slope +1.72 | ✓ Vol20 10960620 > Vol60 6579508 | ✗ Up-vol 17.3% <= 50%,2026-11-22,68,ACTIVE,2026-09-23,2026-11-08,False
NTLA,2026-09-14,11.74,-1.5926281,1645087232,4425862,12.58,13.13,3357020.0,4155605.0,-0.17,45.3,-22.76,False,0,False,✗ Price 11.74 <= MA20 12.58 | ✗ MA20 slope -0.17 | ✗ Vol20 3357020 <= Vol60 4155605 | ✗ Up-vol 45.3% <= 50%,2027-03-10,176,ACTIVE,2027-01-09,2027-02-24,False
AMLX,2026-09-14,31.62,-1.4646286,3523196928,2478727,33.99,23.99,3759085.0,2492793.0,9.99,46.7,107.34,True,2,False,✗ Price 31.62 <= MA20 33.99 | ✓ MA20 slope +9.99 | ✓ Vol20 3759085 > Vol60 2492793 | ✗ Up-vol 46.7% <= 50%,2027-06-30,288,ACTIVE,2027-05-01,2027-06-16,False
