ticker,date,price,price_change_pct,market_cap,avg_volume_3m,ma20,ma60,vol20_avg,vol60_avg,ma20_slope,up_volume_pct,return_60d_pct,early_run_warning,momentum_confirmations,eligible_3of4,momentum_details,pdufa_date,days_to_pdufa,pdufa_status,t60_date,t14_date,t60_active
CAPR,2026-09-18,9.42,10.0467,547669248,6477559,8.77,12.65,6397475.0,6650923.0,2.58,21.1,-68.08,False,2,False,✓ Price 9.42 > MA20 8.77 | ✓ MA20 slope +2.58 | ✗ Vol20 6397475 <= Vol60 6650923 | ✗ Up-vol 21.1% <= 50%,2026-11-22,64,ACTIVE,2026-09-23,2026-11-08,False
NTLA,2026-09-18,12.26,6.70148,1717953280,3951416,12.49,12.89,3529755.0,3916668.0,-0.18,51.2,-20.9,False,1,False,✗ Price 12.26 <= MA20 12.49 | ✗ MA20 slope -0.18 | ✗ Vol20 3529755 <= Vol60 3916668 | ✓ Up-vol 51.2% > 50%,2027-03-10,172,ACTIVE,2027-01-09,2027-02-24,False
AMLX,2026-09-18,33.94,4.0147,4331644928,2482174,34.82,25.15,2339690.0,2511115.0,-5.72,48.7,99.65,True,0,False,✗ Price 33.94 <= MA20 34.82 | ✗ MA20 slope -5.72 | ✗ Vol20 2339690 <= Vol60 2511115 | ✗ Up-vol 48.7% <= 50%,2027-06-30,284,ACTIVE,2027-05-01,2027-06-16,False
